[2026-04-06 10:25:45.399] [    0.000] [INFO] Starting RTOP
[2026-04-06 10:25:45.543] [    0.000] [DEBUG] monitor.refresh: 32.171315ms
[2026-04-06 10:25:45.543] [    0.000] [DEBUG] get stats: 45.103µs
[2026-04-06 10:25:45.543] [    0.000] [DEBUG] zram read: 61.608µs
[2026-04-06 10:25:45.547] [    0.000] [DEBUG] process refresh: 3.901738ms
[2026-04-06 10:25:45.547] [    0.000] [DEBUG] UI render: 357.577µs
[2026-04-06 10:25:47.564] [    2.002] [DEBUG] monitor.refresh: 16.574819ms
[2026-04-06 10:25:47.565] [    2.002] [DEBUG] get stats: 16.408µs
[2026-04-06 10:25:47.565] [    2.002] [DEBUG] zram read: 25.585µs
[2026-04-06 10:25:47.566] [    2.002] [DEBUG] process refresh: 1.600809ms
[2026-04-06 10:25:47.566] [    2.002] [DEBUG] UI render: 131.105µs
